persona_id,problem_id,modifier_id,query,answer,criterion,gold_passed,gold_reasoning,judge_passed,judge_reasoning,human_override
busy_parent_on_mobile,virtual_card_missing,poor_internet_connection,hey im trying to get a virtual card for online safety but i cant find it in the app help pls im on the train and signal is weak,"To get a virtual card in the Revolut app, follow these steps:

1. From your home screen, tap the cards icon in the top-right corner.
2. Select the option to create a virtual card.
3. Choose between a multi-use card or a single-use card based on your needs.

If you're having trouble finding the option, make sure you're on the latest version of the app. If you still can't find it, I don't have enough information to help with that.",completeness,False,"The RAG-generated answer provides some steps to obtain a virtual card but lacks completeness. It does not address the customer's specific situation of having a weak signal on the train, which may affect their ability to update the app or follow the steps. Additionally, the answer does not offer alternative solutions or troubleshooting steps if the customer cannot find the option due to connectivity issues. It also fails to suggest checking for app updates when the customer has a stable connection or contacting support if the issue persists. Therefore, the response is incomplete as it does not fully resolve the customer's issue given their current circumstances.",False,"The answer provides some steps to create a virtual card but lacks critical details that may be necessary for the user to successfully complete the process. It does not mention any additional information or troubleshooting steps that might be included in the source article, such as specific settings or permissions needed in the app, or any potential issues that could arise during the process. Therefore, it is too vague and incomplete for actionable guidance.",none
frequent_traveler,daily_top_up_limit_reached,empty,"hey, i hit my funding limit and need to add more funds today. when does it reset? is there any way to work around this?","Your funding limit resets on a rolling monthly basis, based on the day your current price plan began. To check your exact limit refresh date and remaining allowance, tap your profile icon in the top-left corner, select ""Your plan,"" and look under the 'Your limits' section.

Unfortunately, there is no workaround for exceeding your funding limit. I don't have enough information to help with that.",completeness,False,"The RAG-generated answer provides information on when the funding limit resets and how to check the reset date, which partially addresses the customer's query. However, it fails to offer any potential solutions or alternatives for adding more funds today, which was a key part of the customer's request. The response also lacks any suggestion to contact support for further assistance, which could be a necessary step if no workaround is available. Therefore, the answer is incomplete as it does not fully resolve the customer's issue or guide them on what to do next.",False,"The RAG answer provides some information about checking the funding limit and its reset schedule, but it lacks critical steps or details on how to manage or address the issue of exceeding the funding limit. Additionally, it states that there is no workaround without offering any alternative solutions or further guidance, making it too vague and not actionable for the user.",none
non_native_english_worker,account_limit_reached_warning,typing_from_phone_with_typos,"hey, i try to send more money home but say limit reached, what is limit? how i can increase it? need help fast, kids noisy and coffee hot, thanks!","The limit you are encountering may be related to the Wealth Protection limits you have set for outgoing transactions. You can manage or increase these limits by following these steps:

1. Tap your profile icon in the top left corner.
2. Select ‘Security’.
3. Select ‘Wealth protection’.
4. Choose the limit you wish to adjust (for example, 'Transfers') and enter a new value or turn the toggle off to disable the limit.

If you have reached your limit, you can also authorize funds to leave your account by performing a selfie check. 

For transfers to other Revolut customers, limits depend on your destination country and base currency, and most currencies have no transfer limits. You can check for any exceptions in the Revolut app before sending money.",completeness,False,"The RAG-generated answer provides some steps to manage or increase transaction limits, but it lacks clarity and completeness. It does not specify what the default limits are, which is part of the customer's query. Additionally, it mentions a 'selfie check' without explaining what it is or how to perform it. The answer also fails to address whether there are any specific requirements or conditions for increasing limits, such as verification processes or waiting periods. Furthermore, it does not provide guidance on what to do if the steps provided do not resolve the issue, such as contacting customer support for further assistance. Overall, the response leaves several gaps in information that are critical for fully resolving the customer's issue.",True,"The RAG answer includes all essential steps needed to manage or increase the Wealth Protection limits for outgoing transactions, providing clear and actionable instructions. It also mentions the option to perform a selfie check to authorize funds, which is relevant to resolving the user's issue. Additionally, it addresses potential limitations based on destination country and currency, ensuring the user has comprehensive information to navigate the problem effectively.",none
crypto_day_trader,wrong_recipient_no_refund,poor_internet_connection,"accidentally sent 500EUR to wrong number! recipient hasn't accepted it. can I cancel or reverse? plz help, train's losing signal!","Since the recipient hasn't accepted the transfer yet, you cannot cancel or reverse it directly. However, you should reach out to the recipient via the chat in the Revolut app to request the return of the funds. To do this:

1. Go to the bottom menu and select ""Payments.""
2. Choose the person you sent money to.
3. A chat window will open where you can message them.

If they do not respond, you can contact our customer support team, and we will try to reach out to them on your behalf, but we cannot guarantee a response or agreement to return the funds.",completeness,False,"The answer does not provide complete information to resolve the customer's issue. While it correctly advises the customer to contact the recipient via the app, it incorrectly states that the transfer cannot be canceled or reversed directly. Many financial services, including Revolut, often have a process for canceling or reversing transactions if they have not been accepted, especially if reported promptly. The answer should have included checking the app for a cancel option or contacting customer support immediately for assistance in reversing the transaction. Additionally, the suggestion to contact customer support is vague and does not explain what specific help they can provide or the urgency required in such situations.",True,"The RAG answer includes the essential steps needed to resolve the problem of canceling a money transfer that hasn't been accepted. It provides clear, actionable instructions on how to reach out to the recipient via the Revolut app, detailing the steps to access the chat feature. Additionally, it mentions the option to contact customer support if the recipient does not respond, which is an important part of the solution path. Overall, the answer is complete and provides sufficient detail for the user to take action.",none
busy_parent_on_mobile,card_not_working_abroad,angry_after_waiting,hey my card got declined in thailand and i need to know if its frozen or a merchant issue i already tried calling and waiting on hold with no luck fix this now or i might have to switch providers!!!,"To determine if your card is frozen or if it's a merchant issue, please follow these steps:

1. Open your Revolut app and check your transactions list by tapping 'See all' below your most recent transactions.
2. Look for the declined payment and tap on it to see the transaction's details. The reason for the decline should be visible in the 'Status' section.
3. If your card is frozen, you will need to complete the in-app questionnaire to unfreeze it. You can access this questionnaire from the home page of your app or through any push notifications or emails you may have received.

If you don't see the declined payment in your app, it may be due to merchant issues or restrictions. In that case, you can fill out this form to help us reach out to the merchant: [Merchant Issue Form](https://app.revolut.com/form/13ef84b4-1e3b-48eb-8e8b-0030e7e08adc?faqEntryPoint=question.why-has-my-card-payment-been-declined).

If you need further assistance, please tap 'Get help' after selecting the declined transaction.",completeness,True,"The RAG-generated answer provides a comprehensive set of steps for the customer to determine whether the card issue is due to it being frozen or a merchant problem. It instructs the customer on how to check the transaction details in the Revolut app, explains how to unfreeze the card if necessary, and provides a form link for merchant issues. Additionally, it offers guidance on how to get further assistance if needed. The answer is complete and addresses the customer's query effectively without leaving any obvious gaps.",True,"The RAG answer includes essential steps to determine if the card is frozen or if there is a merchant issue. It provides detailed instructions on checking the transaction list, identifying the reason for a declined payment, and the process to unfreeze the card. Additionally, it offers a solution for potential merchant issues and directs the user to further assistance, covering the main solution path from the source material.",none
gig_economy_courier,exchange_rate_markup_question,empty,"Hey, I see the exchange rate in the app is different from Google, like why? Does Revolut add some markup or what? I need to know for my next transfer.","Revolut offers competitive exchange rates based on data from multiple independent sources. The difference you see between the Revolut app and Google may be due to the variable nature of these rates. Additionally, the buy and sell prices can differ due to a spread. Before making an exchange, you can view the rate and any applicable fees in the app. For your next transfer, ensure you check the exchange rate and fees displayed in-app before completing the transaction.",completeness,True,"The RAG-generated answer provides a comprehensive explanation addressing the customer's query. It explains that Revolut uses competitive exchange rates from multiple sources, which can differ from Google's rates due to their variable nature. The answer also mentions the concept of a spread, which can cause differences in buy and sell prices. Furthermore, it advises the customer to check the exchange rate and any applicable fees in the app before completing a transaction, which is a critical step for the customer's next transfer. The response is complete and does not leave any obvious gaps in information.",False,"The answer does not cover all the key steps needed to resolve the problem. While it mentions checking the exchange rate and fees in the app, it lacks critical details about how to access these features or any specific actions the user should take to ensure they are getting the best rate. Additionally, it does not provide a comprehensive solution path as outlined in the source article.",none
gig_economy_courier,account_limit_reached_warning,non_native_broken_english,"hi, i try to top up my account but it say limit is full. how much is limit and how i can make it bigger? i need more money for my job.",I don't have enough information to help with that.,completeness,False,"The RAG-generated answer does not provide any useful information or steps to resolve the customer's issue. It fails to address the customer's query about the account top-up limit and how to increase it. The response should have included information about checking the current limit, potential reasons for the limit being reached, and steps to request an increase, such as contacting customer support or checking account settings. The answer is incomplete as it leaves the customer without any guidance or next steps.",False,"The RAG answer does not provide any steps or information needed to resolve the problem. It lacks detail and is not actionable, failing to cover any solution path from the source material.",none
uk_freelance_designer,business_account_upgrade_question,angry_after_waiting,"I've been waiting ages to get a clear answer on whether I should upgrade to a business account! My freelance income is growing and I need to know what changes come with that, like fees and exchange rates, but no one's helping me! If this isn't sorted soon, I might just have to switch to another provider, mate!","Upgrading to a Revolut Business account offers several advantages for managing your growing freelance income. With a Business account, you can:

- Exchange 30+ currencies at competitive rates.
- Use team and individual cards with spend controls.
- Automate salary, supplier, and tax payments.
- Access multi-user features with individual permissions.
- Accept payments online and in-person.

To sign up for a Business account, you can do so through the Revolut Business app or by visiting the sign-up page [here](https://business.revolut.com/signup?promo=RevFAQ&pid=internal&utm_source=internal&c=RevFAQ&utm_campaign=RevFAQ&geo-redirect). 

Please note that fees and terms apply, which you can review [here](https://www.revolut.com/legal/business-terms/?geo-redirect=TRUE). If you have more specific questions about fees or exchange rates, I don't have enough information to help with that.",completeness,False,"The RAG-generated answer provides some useful information about the benefits of upgrading to a Revolut Business account, such as currency exchange rates, team cards, and payment automation. However, it fails to address the customer's specific concerns about fees and exchange rates in detail. The response mentions that fees and terms apply and provides a link to review them, but it does not directly address the customer's frustration about not receiving clear answers on these topics. Additionally, the answer does not offer any personalized assistance or direct the customer to a specific support channel for further help, which could have been beneficial given the customer's expressed dissatisfaction and urgency. Therefore, the response is incomplete in resolving the customer's issue.",False,"The answer provides some advantages of upgrading to a Revolut Business account and mentions how to sign up, but it lacks critical steps or detailed information on the process of upgrading. It does not cover the main solution path from the source material, such as specific requirements or steps needed to complete the upgrade, making it too vague and not fully actionable.",none
student_abroad,joint_account_not_allowed,angry_after_waiting,"hey, i’ve tried to sort this out a few times now and it’s super frustrating! i need to share my account with my spouse but apparently that’s not possible??? what do i do now? i might just switch to another bank if this isn’t sorted ASAP!",I don't have enough information to help with that.,completeness,False,"The RAG-generated answer does not provide any information or steps to resolve the customer's issue. It fails to address the customer's frustration and does not offer any guidance on how to share the account with their spouse or alternative solutions. The response lacks completeness as it does not suggest contacting support, checking bank policies, or any other potential actions the customer could take. Therefore, it does not meet the evaluation criteria for providing complete information.",False,"The RAG answer does not provide any steps or information needed to resolve the problem. It lacks detail and is vague, failing to cover the main solution path from the source material. Therefore, it does not meet the completeness criteria.",none
gig_economy_courier,account_limit_reached_warning,empty,"hey, I try to top up my account but it say I hit limit. what is the limit and how can I increase it? need more cash for work!",I don't have enough information to help with that.,completeness,False,"The RAG-generated answer does not provide any information or steps to resolve the customer's issue. It fails to address the customer's query about the account top-up limit and how to increase it. The response lacks any guidance or direction, such as checking account settings, contacting customer support for specific assistance, or providing information on typical limits and procedures for increasing them. Therefore, it does not meet the evaluation criteria for completeness.",False,"The RAG answer does not provide any steps or information needed to resolve the problem. It lacks detail and is not actionable, failing to cover the main solution path from the source material.",none
