persona_id,problem_id,modifier_id,query,answer,criterion,gold_passed,gold_reasoning,judge_passed,judge_reasoning,human_override
gig_economy_courier,crypto_purchase_failed,poor_internet_connection,"hey, im trying to buy Bitcoin but getting some error, no clue why. balance is good, what’s blocking me? please help fast, i have no signal here.","There could be several reasons why you're unable to buy Bitcoin despite having a good balance. Here are some steps you can take:

1. **Check Card Details**: Ensure that your card details are correct and try again.
2. **3DS Authentication**: Verify if 3DS authentication is working correctly in your banking app.
3. **Payment Attempts**: If you've made multiple unsuccessful attempts, your card may be temporarily blocked. This can happen due to payment processing rules and may last up to 30 days.
4. **Different Card**: If possible, try using a different card to make the purchase.
5. **Account Balance**: Ensure that you have sufficient funds in your account.

If none of these steps resolve the issue, please reach out to us when you have a better signal for further assistance.",actionability,True,"The RAG-generated answer provides a clear and step-by-step guide for the customer to troubleshoot the issue of not being able to buy Bitcoin. It suggests checking card details, verifying 3DS authentication, considering the possibility of a temporary card block due to multiple unsuccessful attempts, trying a different card, and ensuring sufficient account balance. Each step is actionable and specific, allowing the customer to follow the instructions unambiguously. While it does not provide detailed instructions on where to click or what to select, the guidance is appropriate given the context of the query and the customer's limited signal situation.",False,"The RAG answer provides several potential steps to take, but it lacks a specific, actionable next step that the user can immediately follow. The suggestions are somewhat vague and do not guide the user on what to do next in a clear manner. For example, it does not instruct the user to tap a specific button or contact a specific support channel right away. Additionally, it suggests reaching out for further assistance but only when the user has a better signal, which does not provide immediate actionability.",none
small_business_owner,exchange_rate_markup_question,empty,"Hey, I noticed the exchange rate in the app is different from what I see on Google or Reuters. Does Revolut add a markup on these rates? I need to be sure for my supplier payments.","Revolut offers competitive exchange rates based on data from multiple independent sources. However, there is a difference between the buy and sell prices, known as the spread, which includes a mark-up applied by Revolut per order. This means that the rates you see in the app may differ from those on Google or Reuters due to this mark-up.

Before making any exchanges, you can review the rate and any applicable fees in the app. To check the current exchange rates, you can go to the currency converter on our website or within the app by adding the Watchlist widget.",actionability,True,"The RAG-generated answer provides actionable and specific guidance. It explains that Revolut applies a mark-up, which accounts for the difference in rates compared to Google or Reuters. The answer also instructs the customer on how to review the rate and any applicable fees before making exchanges, and it provides clear directions on where to check the current exchange rates, specifically mentioning the currency converter on the website or the app's Watchlist widget. This guidance is clear, step-by-step, and allows the customer to follow the instructions unambiguously.",False,"The RAG answer explains the difference in exchange rates and mentions reviewing rates and fees in the app, but it does not provide a specific, actionable next step for the user. It lacks concrete guidance on what exactly to tap or where to go in the app to resolve their concern about supplier payments.",none
frequent_traveler,card_not_working_abroad,typing_from_phone_with_typos,hey my card just got declined in thailand and im not sure if its frozen or a merchant issue i havent changed any settings can u help me out quick? thanks!,"To determine if your card is frozen or if it's a merchant issue, follow these steps:

1. **Check for a Declined Payment**: Open your Revolut app, go to your transactions list, and tap 'See all' below your most recent transactions. Look for the declined payment and check the 'Status' section for details.

2. **Complete the In-App Questionnaire**: If your transaction was flagged by our security system, you may need to complete an in-app questionnaire. Access it by going to the home page of your app and tapping the relevant tile, or through any push notification or email you received.

3. **If Your Card is Frozen**: If your card is frozen, all payments will be declined until you confirm the transaction was made by you. If you recognize the payment, mark it as such to unfreeze your card.

4. **Merchant Issues**: If the payment is declined due to merchant restrictions or technical issues, you can reach out to the merchant directly. If you need further assistance, you can fill out this form [here](https://app.revolut.com/form/13ef84b4-1e3b-48eb-0030e7e08adc?faqEntryPoint=question.why-has-my-card-payment-been-declined) to help us contact the merchant.

If you still have issues after these steps, please let me know!",actionability,True,"The RAG-generated answer provides clear, step-by-step instructions for the customer to determine whether their card is frozen or if the issue is with the merchant. It specifies where to check for declined payments in the Revolut app, what to do if the card is frozen, and how to address potential merchant issues. The guidance is actionable and specific, allowing the customer to follow the instructions unambiguously. No critical information is missing, and the customer is directed to further assistance if needed.",True,"The RAG answer provides specific, actionable next steps for the user. It instructs the user to check their transactions in the app, complete an in-app questionnaire if necessary, and explains how to unfreeze their card if it is frozen. Additionally, it offers guidance on how to contact the merchant and provides a link to a form for further assistance. This clear guidance allows the user to know exactly what actions to take next.",none
small_business_owner,suspicious_activity_notification,poor_internet_connection,"got a push notif about suspicious activity but no details. is my account safe?? can’t check much right now, on train. need quick help.","To ensure your account is safe, I recommend you reach out to Revolut Support via the in-app chat as soon as you can. They can confirm whether the notification about suspicious activity is legitimate and provide further assistance. In the meantime, if you feel your account may be compromised, you can freeze your card in the app by tapping the card icon in the top right corner and selecting 'Freeze'.",actionability,True,"The RAG-generated answer provides clear and actionable guidance. It instructs the customer to contact Revolut Support via the in-app chat for confirmation and further assistance, which is specific and direct. Additionally, it offers a step-by-step instruction on how to freeze the card in the app, specifying where to tap and what to select. This ensures the customer can follow the instructions unambiguously, even while on a train and unable to check much.",True,"The RAG answer provides specific, actionable next steps for the user. It instructs the user to reach out to Revolut Support via the in-app chat and explains how to freeze their card by tapping the card icon in the app. This guidance is concrete and directly addresses the user's need for quick help regarding their account safety.",none
non_native_english_worker,verify_identity_failed,angry_after_waiting,"I sent documents for verification but got rejected again! No reason given, what wrong? I'm tired of this! Need fix now or I close my account!","It sounds like your document may not have met the verification criteria. To successfully pass verification, ensure that your identity document is:

- A supported identity document type
- Not handwritten
- Not expired, damaged, or hard to read
- Matches the personal information in your Revolut account

Please check the documents you submitted against these criteria. If you need to resubmit, follow the in-app prompts to provide any missing information. If you continue to face issues, consider reaching out to Revolut Support via the in-app chat for further assistance.",actionability,True,"The RAG-generated answer provides clear and actionable guidance by listing specific criteria that the customer's document must meet to pass verification. It advises the customer to check their documents against these criteria and suggests resubmitting them if necessary. Additionally, it offers a clear next step by recommending contacting Revolut Support via the in-app chat if issues persist. The instructions are specific and unambiguous, allowing the customer to follow them effectively.",True,"The RAG answer provides specific, actionable next steps for the user. It outlines the criteria for acceptable documents and instructs the user to check their submitted documents against these criteria. Additionally, it advises the user to follow in-app prompts for resubmission and suggests contacting Revolut Support via in-app chat if issues persist. This guidance is concrete and directs the user on what to do next.",none
crypto_day_trader,account_limit_reached_warning,empty,"Hey, I’m trying to top up my account but it’s saying I hit my limit. What’s the limit and how do I increase it? I need to get my funds in asap!","The top-up limits for your account are set by our automated security system and can vary based on your financial history. Generally, you can make up to 10 card top-ups within a 24-hour period. If you're a new customer (within 30 days of joining), your limit is £3,000 (or currency equivalent) within a 24-hour period.

To increase your limit, you may need to submit additional documentation if you reach your annual top-up limit. You can check your specific limits and reset dates in the 'Your plan' section of the app.

If you're facing a temporary block on your top-up, it could be due to reasons like insufficient funds or security concerns. You can try using a different card or methods like Apple Pay or Google Pay to add funds.",actionability,False,"The RAG-generated answer provides some information about the top-up limits and potential reasons for a block, but it lacks specific, actionable steps for the customer to follow. It mentions checking limits in the 'Your plan' section of the app but does not provide detailed instructions on how to navigate there. Additionally, the advice to use a different card or payment method is vague and does not guide the customer on how to proceed with these alternatives. The response also fails to address how to submit additional documentation to increase the limit, leaving the customer without clear steps to resolve their issue.",False,"The RAG answer provides information about the top-up limits and potential reasons for the block, but it lacks a specific, actionable next step for the user. While it mentions checking limits in the 'Your plan' section of the app, it does not clearly instruct the user on what to do next to resolve their issue or how to submit additional documentation. The guidance is too vague and does not provide a concrete action for the user to take immediately.",none
small_business_owner,card_not_working_abroad,non_native_broken_english,My card not working in Thailand. I did not change anything. Is it frozen or problem with store? Please help fast.,"To determine why your card isn't working in Thailand, please check the transactions list in your app for any declined transactions. Simply tap the failed transaction to see the decline reason and find relevant troubleshooting tips. 

If the issue persists, it could be due to regional restrictions or a problem with the merchant. You may want to try using your card at a different store or payment terminal. If you suspect your card might be frozen or blocked, you can also check the card settings in the app. 

If you need further assistance, please reach out to the merchant first, or you can fill out the form to raise your case directly with them.",actionability,False,"The RAG-generated answer provides some actionable steps, such as checking the transactions list in the app and examining card settings. However, it lacks specific instructions on how to navigate the app to find these features, which could be confusing for the customer. Additionally, the advice to 'reach out to the merchant first' is not practical for resolving card issues, as the merchant typically cannot assist with card settings or account status. The suggestion to 'fill out the form to raise your case directly with them' is vague, as it does not specify where or how to access this form. Overall, the guidance is not sufficiently clear or detailed for the customer to follow unambiguously.",False,"The RAG answer provides some guidance on checking transactions and suggests trying a different store, but it lacks a clear, actionable next step. While it mentions checking the app and reaching out to the merchant, it does not specify exactly what to tap or upload, nor does it provide a direct contact method for support. The instructions are somewhat vague and do not lead to a concrete action the user can take immediately.",none
student_abroad,apple_pay_not_working,angry_after_waiting,"hey, i'm really frustrated! i keep trying to add my revolut card to apple pay but it keeps saying error! it works fine for normal purchases, so wtf is going on? i've called support a few times and got nowhere! pls help me fix this or i'll just switch to another bank!","To successfully add your Revolut card to Apple Pay, please ensure the following:

1. Your account is fully verified.
2. Your account balance isn't negative.
3. You are using a supported card type (Visa or Mastercard).
4. You don't have the same card digitized on too many devices.
5. The card you're trying to add isn't frozen or terminated.

If you've checked all these and still face issues, I recommend trying again or contacting your external bank for further assistance.",actionability,False,"The RAG-generated answer provides a list of potential issues but lacks specific, actionable steps for the customer to follow. It does not include detailed instructions on how to verify the account, check the card type, or ensure the card isn't frozen. Additionally, the advice to 'try again' or contact an 'external bank' is vague and not helpful, as the customer has already contacted support multiple times without resolution. The response fails to guide the customer through a clear troubleshooting process or provide specific actions to resolve the issue.",False,"The RAG answer provides a list of checks to perform but does not give a specific, actionable next step for the user to take. It suggests contacting the external bank for further assistance, but it lacks concrete guidance on how to resolve the issue directly with Apple Pay or what specific action to take next. Therefore, the user does not leave with a clear next step.",none
non_native_english_worker,atm_withdrawal_fee_unknown,angry_after_waiting,"Hey, I withdraw cash in Spain and got fee! This not what you say before! I call many times, no help! How this fee works? I need fix now or I close account!","When you withdraw cash, you may incur fees based on your plan's limits. Each plan has a specific number of fee-free withdrawals or a cash withdrawal limit per month:

- Standard: £200 (or 5 withdrawals)
- Plus: £200
- Premium: £400 
- Metal: £800 
- Ultra: £2,000

After exceeding these limits, a 2% or £1 fair usage fee applies. Additionally, ATMs may charge their own fees, which are separate from Revolut's fees. 

To check if Revolut charged you a fee, tap the ATM withdrawal in your transaction history to see the details. If no fee is shown, Revolut did not charge one.

If you need further assistance, please provide more details about your situation.",actionability,True,"The RAG-generated answer provides clear and specific guidance on how the fee system works, including the withdrawal limits for different plans and the potential fees after exceeding those limits. It also explains that ATMs may charge their own fees, which are separate from Revolut's fees. The instructions on how to check if Revolut charged a fee are actionable and specific, directing the customer to tap the ATM withdrawal in their transaction history to see the details. This allows the customer to unambiguously follow the instructions to determine if Revolut charged a fee. The response also invites the customer to provide more details if further assistance is needed, which is a reasonable step for more personalized help.",False,"The RAG answer provides information about the fee structure and how to check for fees in the transaction history, but it does not give a specific, actionable next step for the user to resolve their issue. It lacks concrete guidance on what to do next to fix the problem or who to contact for immediate assistance, making it vague and insufficient for the user's urgent need.",none
student_abroad,pending_verification_too_long,empty,"hey, i finished my verification 3 days ago but my account still says pending, can u pls tell me how long this takes or if there’s a way to speed it up? thx!","Your verification process usually takes up to 1 business day, but it may take up to 7 business days in some cases. Since it's been 3 days, I recommend checking your email and in-app notifications for any updates. If you still see ""pending"" after 7 business days, please contact our support team for assistance.",actionability,True,"The RAG-generated answer provides clear and actionable guidance. It specifies the typical duration of the verification process and advises the customer to check their email and in-app notifications for updates. It also provides a specific next step if the issue persists beyond 7 business days, which is to contact the support team. The instructions are clear and unambiguous, allowing the customer to follow them without confusion.",False,"The RAG answer provides some information about the verification process duration and suggests checking email and in-app notifications, but it lacks a specific, actionable next step for the user. While it mentions contacting support if the status remains 'pending' after 7 business days, it does not provide clear guidance on how to contact support (e.g., a specific button to tap or a link to follow). Therefore, the user does not leave with a concrete next step.",none
