persona_id,problem_id,modifier_id,query,answer,criterion,gold_passed,gold_reasoning,judge_passed,judge_reasoning,human_override
crypto_day_trader,crypto_purchase_failed,poor_internet_connection,"yo, trying to buy BTC but gettin a generic error, wtf? got enough balance, what’s blockin it? on train so can’t chat much, pls help fast!","It sounds like your purchase of BTC might be failing due to a few possible reasons. Here are some steps you can take:

1. **Check your balance**: Ensure you have enough funds in your account.
2. **Verify card details**: If you're using a card, make sure the details are correct.
3. **3DS authentication**: Check if 3DS authentication is working correctly in your banking app.
4. **Try a different card**: If possible, use another card to make the purchase.
5. **Purchase from account balance**: If you have a Revolut account, try buying crypto directly from your account balance in the 'Crypto' section.

If none of these steps resolve the issue, I don't have enough information to help with that.",groundedness,False,"The RAG-generated answer provides several potential reasons and solutions for the customer's issue, such as checking balance, verifying card details, 3DS authentication, trying a different card, and purchasing from account balance. However, the evaluation criteria require that all claims in the answer be supported by the retrieved context. Since no retrieved context is provided, the answer cannot be verified against it. Therefore, the answer is considered ungrounded as it offers generic advice without specific support from the retrieved context.",False,"The RAG answer includes specific steps and suggestions for troubleshooting a purchase of BTC that are not explicitly supported by the retrieved articles. While the articles discuss issues related to card top-ups and payment failures, they do not provide detailed troubleshooting steps or mention 3DS authentication, using a different card, or purchasing directly from an account balance. Therefore, the answer introduces information not present in the articles.",none
uk_freelance_designer,payment_declined_large_amount,empty,"Hi there, I just tried to make a big purchase with my card, but it got declined and there was no explanation. I've got enough balance, so what's going on? Cheers!","Your card payment may have been declined for several reasons, even if you have enough balance. Here are some steps you can take to troubleshoot:

1. **Check Currency Account**: Ensure your card is linked to a currency account with sufficient funds. To do this, select the card → tap 'Settings' → 'Spend from'.

2. **Check Pocket Balance**: If your card is linked to a Pocket, verify that the Pocket has enough balance. You can check this by tapping on 'Accounts' below your balance and going to 'Pockets'.

3. **Review Declined Payment**: Open your transactions list by tapping 'See all' below your most recent transactions. Tap the declined payment to see the transaction's details and the reason for the decline in the 'Status' section.

4. **Merchant Issues**: Sometimes, the merchant may have restrictions or technical issues. If you can't find the reason in the app, consider reaching out to the merchant.

5. **Security System**: If our security system flagged the transaction as potential fraud, you may need to complete an in-app questionnaire to unblock the merchant. Check for any notifications in your app.

If you still need assistance after these steps, you can fill out a form to help us reach out to the merchant directly.",groundedness,False,"The RAG-generated answer provides several potential reasons and troubleshooting steps for a declined card transaction. However, the evaluation task specifies that the answer must be grounded in the retrieved context, which is not provided in this case. Without the retrieved context, it is impossible to verify if the claims and steps mentioned in the answer are supported by the context. Therefore, the answer cannot be considered grounded, and it fails the evaluation criteria.",False,"The RAG answer includes specific troubleshooting steps and actions that are not explicitly mentioned in the retrieved articles. For example, the instructions to check currency accounts, pockets, and the in-app questionnaire for unblocking merchants are not supported by the articles provided. Additionally, the answer implies a process for reaching out to merchants that is not grounded in the articles. Therefore, the answer introduces information not present in the articles.",none
busy_parent_on_mobile,cancel_subscription_not_working,typing_from_phone_with_typos,hey im trying to cancel my gym payment but cant find how to do it in the app can you help me plz im walking to pick up the kids and need this sorted fast thanks,I don't have enough information to help with that.,groundedness,False,"The RAG-generated answer states that there is not enough information to help with the customer's query, but it does not reference any retrieved context to support this claim. Since no context was provided, the answer cannot be considered grounded. Additionally, the response does not offer any guidance or steps to address the customer's issue, which is a critical part of the interaction. Therefore, the answer fails the evaluation criteria.",True,"The RAG answer acknowledges a lack of information, which is a grounded response. It does not introduce any unverified claims or facts not present in the retrieved articles, and it appropriately indicates the limitations of the information available.",none
crypto_day_trader,crypto_withdrawal_pending,poor_internet_connection,"sent crypto to my wallet 12 hrs ago, still pending!!! is it lost?? pls help, can't check properly, on train, weak signal. need this sorted fast!","Your crypto withdrawal may be pending for several reasons, such as internal assessment, broadcasting to the network, or confirmation on-chain. To check the status of your withdrawal, follow these steps:

1. Go to 'Crypto' on the bottom menu.
2. Scroll to the transactions list or select the crypto you withdrew.
3. Find your withdrawal transaction and tap on it to see the reason why it's pending.

If the transaction is taking longer than expected, it could be due to high traffic on the blockchain network. You can monitor your transaction on a blockchain scanner by tapping 'Blockchain hash' on the transaction, then 'View my transaction'. 

If the transaction is shown as completed on the explorer but the funds haven't arrived, you may need to contact the provider of the receiving wallet for further support.",groundedness,False,"The RAG-generated answer provides a detailed explanation of potential reasons for a pending crypto transaction and steps to check its status. However, the evaluation task requires that all claims in the answer be supported by the retrieved context, which is missing in this case. Without the retrieved context, it is impossible to verify if the steps and reasons mentioned are grounded in the provided information. Therefore, the answer cannot be considered grounded, as it may include hallucinated features or steps not supported by the context.",True,"All factual claims in the RAG answer are supported by the retrieved articles. The answer discusses reasons for pending withdrawals, steps to check the status, and actions to take if the transaction is completed but funds are not received, all of which align with the content of the provided articles. No unsupported claims or invented information are present.",none
small_business_owner,swift_transfer_asking_info,angry_after_waiting,"I've tried to find my IBAN and BIC for a SWIFT transfer but can't find them anywhere in the app! This is ridiculous, I've been on hold before and nothing gets sorted! If I don’t get this sorted ASAP, I might have to look for a different provider!","To find your IBAN and BIC for a SWIFT transfer in the Revolut app, please follow these steps:

1. Go to 'Home' on the bottom menu.
2. Tap 'Accounts'.
3. Select the currency you wish to receive money in.
4. Below your account balance, tap 'Details'.
5. Choose 'Local' or 'International' to view the relevant account details.

Your IBAN and BIC will be displayed on this screen, which you can then share with the sender or sender bank.",groundedness,False,"The RAG-generated answer provides a detailed step-by-step guide on how to find the IBAN and BIC in the Revolut app. However, the evaluation task requires that all claims in the answer be supported by the retrieved context. Since no retrieved context is provided, it is impossible to verify whether the steps mentioned in the answer are grounded in any context. Therefore, the answer cannot be considered grounded, as it lacks the necessary supporting context.",True,"All factual claims in the answer regarding how to find the IBAN and BIC for a SWIFT transfer in the Revolut app are supported by the context provided in the retrieved articles. The answer does not introduce any information not present in the articles and accurately describes the steps to access the account details, which aligns with the content of the articles.",none
small_business_owner,crypto_limit_warning,empty,"Hey, I just got a message saying I've hit my crypto limit. What's the limit exactly, and can it be increased? Need to sort this out fast.","Your crypto withdrawal limits can be checked in the app. To see your limits, follow these steps:

1. Go to 'Crypto' on the bottom menu.
2. Tap 'More'.
3. Select 'Limits and fees'.
4. Tap 'Sending limits'.

Limits are periodically reviewed and may be adjusted based on your account activity and potential risk factors. If you want to increase your limits, you may need to manage your Wealth protection limits in-app. For more information on that, please visit the relevant FAQ in the app.",groundedness,False,"The RAG-generated answer provides specific steps and advice on how to check and potentially increase crypto withdrawal limits. However, the evaluation task requires that all claims in the answer be supported by the retrieved context. Since no retrieved context is provided, it is impossible to verify whether the steps and advice given are grounded in the context. Therefore, the answer cannot be considered grounded, as it may contain hallucinated features or steps not supported by the context.",False,"The RAG answer includes claims about managing Wealth protection limits and the need to visit the relevant FAQ in the app, which are not supported by the retrieved articles. Additionally, the answer implies that limits are adjusted based on account activity and risk factors without direct support from the articles. Therefore, it introduces information not present in the articles.",none
crypto_day_trader,instant_transfer_limit_reached,non_native_broken_english,"hi, i try to send money but got limit message. what is limit and when reset? need to transfer now, market moving fast!","The limit for sending money depends on your destination country and base currency. Most currencies have no transfer limits, but if there are any exceptions, they will be shown in the Revolut app before you send money. 

If you have set a Wealth Protection limit for transfers, it will refresh every 24 hours. You can check your limits and reset dates in the 'Your plan' section of the app. If you reach your limit, you can authorize funds to leave your account by performing a selfie check.

To manage your limits, tap your profile icon in the top left corner, select ‘Security’, then ‘Wealth protection’ to adjust your settings.",groundedness,False,"The RAG-generated answer provides information about transfer limits and how to manage them, but it lacks grounding in any retrieved context. The answer mentions specific features like 'Wealth Protection limit', 'selfie check', and steps to manage limits in the app, which are not supported by any retrieved context. Without context to verify these claims, the answer is considered ungrounded and potentially hallucinated.",False,"The RAG answer includes claims about the Wealth Protection limit refreshing every 24 hours and the process of performing a selfie check to authorize funds, which are not explicitly supported by the retrieved articles. Additionally, the answer introduces specific instructions on managing limits that are not found in the provided articles. Therefore, the answer does not meet the groundedness criteria.",none
non_native_english_worker,account_limit_reached_warning,angry_after_waiting,"Why I can’t top up more money?? I call before, wait long time, no answer! What my account limit?? I need send money home NOW! How I can increase it?? If not fix, I switch to other service!","Your ability to top up may be blocked due to reasons such as insufficient funds, security concerns, or multiple unsuccessful attempts. If your bank has declined a previous payment, this could also lead to a temporary block lasting up to 30 days.

To check your account limits or increase them, you may need to contact your bank or card issuer for specific information regarding any limits they have set. 

If you need to send money urgently, consider using Apple Pay or Google Pay, or try adding money with a different card. You can also explore other methods like bank transfers. 

For more information on adding money, follow these steps:
1. Go to 'Home' on the bottom menu.
2. Tap 'Add money'.
3. Enter the amount and choose your payment method.

If you continue to face issues, please refer to your transactions list for more help.",groundedness,False,"The RAG-generated answer provides several potential reasons for the inability to top up, such as insufficient funds, security concerns, or declined payments, but these claims are not supported by any retrieved context. Additionally, the steps provided for adding money and the suggestion to use Apple Pay or Google Pay are not grounded in any specific retrieved context. Without context to verify these claims, the answer is considered ungrounded.",False,"The RAG answer includes specific claims about the reasons for a top-up block (e.g., insufficient funds, security concerns, multiple unsuccessful attempts) and the duration of a temporary block (up to 30 days) that are not explicitly supported by the retrieved articles. Additionally, the mention of using Apple Pay or Google Pay as alternatives is not grounded in the provided articles. Therefore, the answer introduces information not present in the articles and makes unsupported claims.",none
crypto_day_trader,instant_transfer_limit_reached,angry_after_waiting,"Yo, I keep getting hit with this transfer limit message and I need to send funds NOW! What’s the limit and when does it reset? I’ve already wasted too much time trying to sort this out, fix it or I’m outta here!","The transfer limits for your account are set by you through the Wealth Protection feature. These limits refresh every 24 hours. To check your current limits and when they reset, follow these steps:

1. Tap your profile icon in the top left corner.
2. Select ‘Security’.
3. Select ‘Wealth protection’.

If you reach your limit, you can authorize additional funds to leave your account by completing a selfie check. If you need to adjust your limits, you can do so in the same section. 

If you have further questions or need assistance with specific limits, please let me know!",groundedness,False,"The RAG-generated answer provides specific steps and features such as 'Wealth Protection' and 'selfie check' without any retrieved context to support these claims. The answer also mentions that limits refresh every 24 hours, but without context, this cannot be verified. Therefore, the answer is ungrounded as it lacks evidence from the retrieved context to support its claims.",False,"The RAG answer includes specific details about the Wealth Protection feature, such as the ability to set limits and the process for adjusting them, which are not explicitly supported by the retrieved articles. Additionally, the claim that limits refresh every 24 hours is not mentioned in the articles. Therefore, the answer introduces information not present in the articles and makes unsupported claims.",none
non_native_english_worker,crypto_purchase_failed,empty,I try buy Bitcoin but error show up. I have enough money in account. What is problem?,"The error you're encountering when trying to buy Bitcoin could be due to several reasons:

1. **Insufficient Funds**: Even if you believe you have enough money, double-check your balance in the relevant currency account or assigned Pocket.

2. **Account Name Mismatch**: Ensure that the name on your external bank account matches exactly with the name on your Revolut account.

3. **External Bank Errors**: The issue might be related to your external bank's system. If there are rejections or errors from your bank, you may need to contact them or try again later.

If you continue to experience issues, please reach out to us for further assistance.",groundedness,False,"The RAG-generated answer provides potential reasons for the error encountered when trying to buy Bitcoin, such as insufficient funds, account name mismatch, and external bank errors. However, the evaluation criteria require that all claims in the answer be supported by the retrieved context. Since no retrieved context is provided, it is impossible to verify whether the claims are grounded in the context. Additionally, the answer includes generic advice without citing specific articles or context, which counts as ungrounded according to the evaluation criteria. Therefore, the answer fails the grounding requirement.",False,"The RAG answer includes claims about 'Account Name Mismatch' and 'External Bank Errors' that are not explicitly supported by the retrieved articles. While 'Insufficient Funds' is mentioned in the article about insufficient funds for scheduled transfers, the other two points are not grounded in the provided context, making the overall answer not fully supported by the articles.",none
