persona_id,problem_id,modifier_id,query,answer,criterion,gold_passed,gold_reasoning,judge_passed,judge_reasoning,human_override
non_native_english_worker,card_not_working_abroad,poor_internet_connection,"card declined in Thailand, not change settings. is my card frozen or merchant problem? signal bad, no time for chat. pls help fast!","If your card is declined in Thailand, it could be due to several reasons, such as a merchant issue or regional restrictions. Since you mentioned you can't change settings and have a bad signal, I recommend reaching out to the merchant first. If they can't assist you, tap the declined transaction in your app and select 'Troubleshoot my declined transaction' for further help.

If your card is frozen, all payments will be declined until you complete the in-app questionnaire. You can access this by going to the home page of your Revolut app and tapping the relevant tile. If you confirm the payment was made by you, your card will be unfrozen.

If you need to check for card damage or other issues, you can also tap the failed transaction in your transactions list for more details.",relevance,True,"The RAG-generated answer directly addresses the customer's question by explaining potential reasons for the card being declined, such as merchant issues or regional restrictions. It provides actionable steps for the customer to troubleshoot the issue, including reaching out to the merchant and using the app to troubleshoot the declined transaction. It also explains what to do if the card is frozen, which is one of the customer's concerns. The answer is relevant and provides a comprehensive response to the customer's query.",False,"The answer provides general information about potential reasons for a card being declined and suggests steps to troubleshoot, but it does not directly address the user's specific concern about whether their card is frozen or if the issue is with the merchant. The user is looking for a quick resolution and clarity on their situation, which the answer does not adequately provide.",none
busy_parent_on_mobile,suspicious_activity_notification,empty,hey i got a push notification about suspicious activity on my account but no details can u tell me whats going on im kinda worried it got compromised,I don't have enough information to help with that.,relevance,False,"The RAG-generated answer does not directly address the customer's question about the suspicious activity notification. The customer is seeking information or guidance on the suspicious activity, but the response simply states a lack of information without offering any assistance or next steps. A more appropriate response would acknowledge the concern and suggest contacting customer support or checking account activity for more details.",False,"The RAG answer does not address the user's specific concern about the suspicious activity on their account. Instead of providing any relevant information or guidance regarding the notification, it states a lack of information, which does not help alleviate the user's worry or provide clarity on the situation.",none
non_native_english_worker,instant_transfer_limit_reached,typing_from_phone_with_typos,"hey, i try to send money to Ukraine but got message about limit, what is limit and when it reset? need it fast, kids driving me crazy, thanks!","The limit for sending money to Ukraine is related to the monthly limit of ₴100,000 enforced by your card issuer for card top-ups. This limit resets every month. If you have reached your limit, you can try using a Mastercard card for top-ups, as this restriction currently only affects Visa transactions. Additionally, you are entitled to one fee-free card transfer to Ukraine per month; after that, a 1% fee applies to subsequent transfers. If you need to send money urgently, consider using a bank transfer or a Mastercard for your transaction.",relevance,True,"The RAG-generated answer directly addresses the customer's question by explaining the limit for sending money to Ukraine, which is related to a monthly limit of ₴100,000 enforced by the card issuer. It also clarifies that this limit resets every month, which directly answers the customer's query about when the limit resets. Additionally, the answer provides useful information about using a Mastercard instead of a Visa card and mentions the fee structure, which could be relevant for the customer's urgent need to send money. Overall, the response is relevant and directly addresses the customer's concerns.",True,"The RAG answer directly addresses the user's specific issue regarding the limit for sending money to Ukraine and provides relevant information about the monthly limit, its reset period, and alternative options for sending money. It is responsive to the user's intent and context, which is to understand the limit and find a solution quickly.",none
frequent_traveler,transfer_pending_stuck,poor_internet_connection,"hey, i sent money to my friend 2 days ago and it’s still pending. neither of us got it. what’s the delay? can i cancel it if needed? thanks.","Your transfer may be pending for several reasons, such as being sent on a weekend or public holiday, additional processing checks, or incorrect recipient details. Transfers can remain pending for up to 72 hours, but they typically complete within a few hours.

To check the status of your transfer, use the outbound transfer status tool in the Revolut app. 

If you want to cancel the transfer, you can do so if it's eligible. Here’s how:
1. Go to Payments on the bottom menu.
2. Select the person you sent the pending transfer to.
3. On the payments screen, select the pending transfer.
4. Tap 'Cancel'.

If you can't cancel it, it may be under review by our automated security system. In that case, you may need to answer some questions in-app before it can be processed. If the transfer remains pending for 48 hours, it will be automatically cancelled, and the funds will be returned to your account.",relevance,True,"The RAG-generated answer directly addresses the customer's query by explaining potential reasons for the delay in the transfer, such as weekends, public holidays, processing checks, or incorrect recipient details. It also provides a timeframe for when transfers typically complete and offers a method to check the status of the transfer using the Revolut app. Additionally, it explains the conditions under which the customer can cancel the transfer and provides step-by-step instructions on how to do so. The answer also mentions the possibility of the transfer being under review and the automatic cancellation policy after 48 hours, which are relevant to the customer's concerns about the delay and cancellation options.",True,"The RAG answer directly addresses the user's issue regarding the pending money transfer, explaining possible reasons for the delay and providing specific instructions on how to check the status and cancel the transfer if needed. It is responsive to the user's intent and context, covering both the delay and the cancellation process without deviating from the original question.",none
student_abroad,crypto_limit_warning,angry_after_waiting,"hey, i keep getting msgs saying i reached my crypto limit but no one’s told me what it actually is!! can it be increased or what?? i’m getting really frustrated with this, pls sort it out or i might have to look for another app!","You can check your crypto withdrawal limits by following these steps:

1. Go to 'Crypto' on the bottom menu.
2. Tap 'More'.
3. Select 'Limits and fees'.
4. Tap 'Sending limits'.

Your daily limits reset 24 hours after the last withdrawal, and monthly limits reset 30 days after the last withdrawal. If you want to know if your limits can be increased, they are periodically reviewed and may be adjusted based on account activity and risk factors. 

If you have specific limits for certain external crypto addresses, you can see those on the 'Select address' screen in your app when entering an amount for withdrawal. 

If you're still having issues, please check your notifications or emails for any account restrictions that might be affecting your withdrawals.",relevance,True,"The RAG-generated answer directly addresses the customer's query by providing steps to check their crypto withdrawal limits, which is the main concern expressed in the query. It also explains how limits are reset and mentions that limits can be reviewed and potentially increased based on account activity and risk factors. Additionally, it advises the customer to check for any account restrictions that might be affecting their withdrawals. This response is relevant and covers the aspects of the customer's question about understanding and potentially increasing their crypto limits.",True,"The RAG answer directly addresses the user's issue regarding their crypto withdrawal limits by providing specific steps to check those limits. It also responds to the user's inquiry about whether the limits can be increased, explaining that they are periodically reviewed based on account activity. The answer is relevant to the user's frustration and intent, as it offers actionable information and guidance related to their specific problem.",none
uk_freelance_designer,pending_verification_too_long,empty,"Hi there, I completed my verification 3 days ago but my account still shows as pending. I can't access all the features I need for my work, can you let me know when I might expect it to be sorted or if there's a way to speed things up? Cheers!","Your verification process usually takes up to 1 business day, but it can take up to 7 business days in some cases. Since it has been 3 days, I recommend being patient as it may still be in progress. You will receive a notification via email and in-app once it's completed. Unfortunately, there is no way to speed up the verification process. If you have any concerns, you can check your emails for updates or contact our customer support team through the in-app chat.",relevance,True,"The RAG-generated answer directly addresses the customer's question by explaining the typical and maximum timeframes for the verification process, acknowledging that it has been 3 days, and advising patience as the process may still be ongoing. It also informs the customer that they will receive a notification once the process is complete and clarifies that there is no way to expedite the verification. Additionally, it provides guidance on checking for updates and contacting customer support if needed. The response is relevant and covers all aspects of the customer's query.",False,"The answer provides general information about the verification process and its typical duration, but it does not directly address the user's specific concern about their account still showing as pending after 3 days. It fails to provide a clear timeline for when the user might expect the issue to be resolved or any actionable steps to expedite the process, which is what the user is seeking.",none
small_business_owner,crypto_purchase_failed,non_native_broken_english,I try buy Bitcoin but get error. I have enough money in account. What is problem?,"The error you are encountering when trying to buy Bitcoin could be due to insufficient funds in the relevant currency account or assigned Pocket. Even if you have enough money in your account, ensure that the funds are in the correct currency and available for the purchase. 

Additionally, check if your card details are correct and that 3DS authentication is working properly. If the problem persists, consider trying again later or using a different payment method.",relevance,True,"The RAG-generated answer directly addresses the customer's question by suggesting potential reasons for the error encountered when trying to buy Bitcoin. It considers the possibility of insufficient funds in the relevant currency account or assigned Pocket, even if the overall account balance is sufficient. The answer also advises checking card details and 3DS authentication, which are relevant to the transaction process. These suggestions are pertinent to troubleshooting the issue described by the customer, making the response relevant and appropriate.",False,"The RAG answer does not directly address the user's specific issue of encountering an error while trying to buy Bitcoin despite having enough money in their account. Instead, it introduces potential issues related to currency and payment methods that may not be relevant to the user's situation. The answer also includes generic advice that could apply to various scenarios, rather than focusing on the user's specific problem.",none
gig_economy_courier,daily_top_up_limit_reached,angry_after_waiting,"Hey, I need to add more funds today but hit my limit again! This is so frustrating, I’ve been on hold for ages and nothing works! When does this reset? Is there any way to get around it? I need this sorted now or I'm thinking of switching!","Your limits for adding funds reset every 24 hours. You can check your specific limits and reset dates in the 'Your plan' section of the app. Unfortunately, there is no way to bypass these limits.

If you're facing issues with adding funds, consider using a different card or methods like Apple Pay or Google Pay. You can also explore bank transfers or internal transfers from other Revolut customers for adding money.",relevance,True,"The RAG-generated answer directly addresses the customer's query by explaining that the limits reset every 24 hours and where to find specific limit information. It also acknowledges that there is no way to bypass these limits, which directly responds to the customer's question about getting around the limit. Additionally, it provides alternative methods for adding funds, which is relevant to the customer's need to add more funds immediately. The response is comprehensive and relevant to the customer's concerns.",False,"The answer provides information about the reset time for limits and suggests alternative methods for adding funds, but it does not directly address the user's frustration with being on hold or the urgency of needing to resolve the issue immediately. It also does not offer any specific solutions to bypass the limit or expedite the process, which is the core concern of the user.",none
crypto_day_trader,crypto_purchase_failed,angry_after_waiting,"Yo, I've tried buying Bitcoin like 5 times and keep getting this dumb error! I've got enough balance so wtf is blocking my purchase? I've been on hold too long already and I'm seriously considering closing my account if this doesn't get fixed NOW!","It sounds like your purchase attempts may be blocked due to multiple unsuccessful attempts or issues with your card. Here are some steps you can try:

1. **Check Card Details**: Ensure your card details are correct.
2. **3DS Authentication**: Verify that 3DS authentication is working correctly in your banking app.
3. **Use Different Card**: Try purchasing with a different card.
4. **Account Balance**: Make sure you have enough funds in your Revolut account to cover the purchase.

If none of these steps resolve the issue, please reach out to us for further assistance.",relevance,True,"The RAG-generated answer directly addresses the customer's issue by suggesting potential reasons for the error and providing actionable steps to resolve it. It acknowledges the possibility of multiple unsuccessful attempts or card issues and offers specific solutions such as checking card details, ensuring 3DS authentication, using a different card, and verifying account balance. The response is relevant and focused on the customer's problem without discussing unrelated topics.",False,"The answer provides general troubleshooting steps for purchasing Bitcoin but does not directly address the user's specific issue of receiving a 'dumb error' despite having enough balance. It fails to acknowledge the urgency expressed by the user and does not address the potential reasons for the error message they are encountering, making it less relevant to the user's actual concern.",none
gig_economy_courier,suspicious_activity_notification,empty,"hey, i got a push notif about suspicious activity on my account but no details. is my account safe? i need to know fast, i’m on my shift now.","Your account may be under review due to periodic security checks, which is a standard procedure for compliance. During this time, some activities may be temporarily restricted, but no action is required from you. If you have concerns about suspicious activity, you can freeze your card in the Revolut app by tapping the card icon in the top right corner, selecting the card, and tapping 'Freeze'. 

If you need further assistance, please reach out to Revolut Support via the in-app chat.",relevance,False,"The RAG-generated answer does not directly address the customer's primary concern about whether their account is safe. While it provides information on how to freeze the card and suggests contacting support, it fails to confirm the safety status of the account or provide specific details about the suspicious activity notification. The customer is seeking reassurance and specific information about their account's security, which the response does not adequately provide.",False,"The RAG answer does not directly address the user's concern about the safety of their account following the push notification about suspicious activity. Instead, it provides generic information about security checks and card freezing, which does not specifically answer whether the account is safe or not. The user is looking for immediate reassurance regarding their account's safety, which the answer fails to provide.",none
